"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1","18/08/17","Leganes","Alaves",1,0,"H"
"2","18/08/17","Valencia","Las Palmas",1,0,"H"
"3","19/08/17","Celta","Sociedad",2,3,"A"
"4","19/08/17","Girona","Ath Madrid",2,2,"D"
"5","19/08/17","Sevilla","Espanol",1,1,"D"
"6","20/08/17","Ath Bilbao","Getafe",0,0,"D"
"7","20/08/17","Barcelona","Betis",2,0,"H"
"8","20/08/17","La Coruna","Real Madrid",0,3,"A"
"9","21/08/17","Levante","Villarreal",1,0,"H"
"10","21/08/17","Malaga","Eibar",0,1,"A"
"11","25/08/17","Betis","Celta",2,1,"H"
"12","25/08/17","Sociedad","Villarreal",3,0,"H"
"13","26/08/17","Alaves","Barcelona",0,2,"A"
"14","26/08/17","Girona","Malaga",1,0,"H"
"15","26/08/17","Las Palmas","Ath Madrid",1,5,"A"
"16","26/08/17","Levante","La Coruna",2,2,"D"
"17","27/08/17","Eibar","Ath Bilbao",0,1,"A"
"18","27/08/17","Espanol","Leganes",0,1,"A"
"19","27/08/17","Getafe","Sevilla",0,1,"A"
"20","27/08/17","Real Madrid","Valencia",2,2,"D"
"21","08/09/17","Leganes","Getafe",1,2,"A"
"22","09/09/17","Barcelona","Espanol",5,0,"H"
"23","09/09/17","Real Madrid","Levante",1,1,"D"
"24","09/09/17","Sevilla","Eibar",3,0,"H"
"25","09/09/17","Valencia","Ath Madrid",0,0,"D"
"26","10/09/17","Ath Bilbao","Girona",2,0,"H"
"27","10/09/17","Celta","Alaves",1,0,"H"
"28","10/09/17","La Coruna","Sociedad",2,4,"A"
"29","10/09/17","Villarreal","Betis",3,1,"H"
"30","11/09/17","Malaga","Las Palmas",1,3,"A"
"31","15/09/17","Eibar","Leganes",1,0,"H"
"32","16/09/17","Ath Madrid","Malaga",1,0,"H"
"33","16/09/17","Betis","La Coruna",2,1,"H"
"34","16/09/17","Getafe","Barcelona",1,2,"A"
"35","16/09/17","Levante","Valencia",1,1,"D"
"36","17/09/17","Alaves","Villarreal",0,3,"A"
"37","17/09/17","Girona","Sevilla",0,1,"A"
"38","17/09/17","Las Palmas","Ath Bilbao",1,0,"H"
"39","17/09/17","Sociedad","Real Madrid",1,3,"A"
"40","18/09/17","Espanol","Celta",2,1,"H"
"41","19/09/17","Barcelona","Eibar",6,1,"H"
"42","19/09/17","Valencia","Malaga",5,0,"H"
"43","20/09/17","Ath Bilbao","Ath Madrid",1,2,"A"
"44","20/09/17","La Coruna","Alaves",1,0,"H"
"45","20/09/17","Leganes","Girona",0,0,"D"
"46","20/09/17","Real Madrid","Betis",0,1,"A"
"47","20/09/17","Sevilla","Las Palmas",1,0,"H"
"48","21/09/17","Celta","Getafe",1,1,"D"
"49","21/09/17","Levante","Sociedad",3,0,"H"
"50","21/09/17","Villarreal","Espanol",0,0,"D"
"51","23/09/17","Alaves","Real Madrid",1,2,"A"
"52","23/09/17","Ath Madrid","Sevilla",2,0,"H"
"53","23/09/17","Girona","Barcelona",0,3,"A"
"54","23/09/17","Malaga","Ath Bilbao",3,3,"D"
"55","24/09/17","Eibar","Celta",0,4,"A"
"56","24/09/17","Espanol","La Coruna",4,1,"H"
"57","24/09/17","Getafe","Villarreal",4,0,"H"
"58","24/09/17","Las Palmas","Leganes",0,2,"A"
"59","24/09/17","Sociedad","Valencia",2,3,"A"
"60","25/09/17","Betis","Levante",4,0,"H"
"61","29/09/17","Celta","Girona",3,3,"D"
"62","30/09/17","La Coruna","Getafe",2,1,"H"
"63","30/09/17","Leganes","Ath Madrid",0,0,"D"
"64","30/09/17","Levante","Alaves",0,2,"A"
"65","30/09/17","Sevilla","Malaga",2,0,"H"
"66","01/10/17","Barcelona","Las Palmas",3,0,"H"
"67","01/10/17","Real Madrid","Espanol",2,0,"H"
"68","01/10/17","Sociedad","Betis",4,4,"D"
"69","01/10/17","Valencia","Ath Bilbao",3,2,"H"
"70","01/10/17","Villarreal","Eibar",3,0,"H"
"71","13/10/17","Espanol","Levante",0,0,"D"
"72","14/10/17","Alaves","Sociedad",0,2,"A"
"73","14/10/17","Ath Bilbao","Sevilla",1,0,"H"
"74","14/10/17","Ath Madrid","Barcelona",1,1,"D"
"75","14/10/17","Getafe","Real Madrid",1,2,"A"
"76","15/10/17","Betis","Valencia",3,6,"A"
"77","15/10/17","Eibar","La Coruna",0,0,"D"
"78","15/10/17","Girona","Villarreal",1,2,"A"
"79","15/10/17","Malaga","Leganes",0,2,"A"
"80","16/10/17","Las Palmas","Celta",2,5,"A"
"81","21/10/17","Barcelona","Malaga",2,0,"H"
"82","21/10/17","Betis","Alaves",2,0,"H"
"83","21/10/17","Levante","Getafe",1,1,"D"
"84","21/10/17","Valencia","Sevilla",4,0,"H"
"85","22/10/17","Celta","Ath Madrid",0,1,"A"
"86","22/10/17","Leganes","Ath Bilbao",1,0,"H"
"87","22/10/17","Real Madrid","Eibar",3,0,"H"
"88","22/10/17","Villarreal","Las Palmas",4,0,"H"
"89","23/10/17","La Coruna","Girona",1,2,"A"
"90","23/10/17","Sociedad","Espanol",1,1,"D"
"91","28/10/17","Alaves","Valencia",1,2,"A"
"92","28/10/17","Ath Bilbao","Barcelona",0,2,"A"
"93","28/10/17","Ath Madrid","Villarreal",1,1,"D"
"94","28/10/17","Sevilla","Leganes",2,1,"H"
"95","29/10/17","Eibar","Levante",2,2,"D"
"96","29/10/17","Getafe","Sociedad",2,1,"H"
"97","29/10/17","Girona","Real Madrid",2,1,"H"
"98","29/10/17","Malaga","Celta",2,1,"H"
"99","30/10/17","Espanol","Betis",1,0,"H"
"100","30/10/17","Las Palmas","La Coruna",1,3,"A"
"101","03/11/17","Betis","Getafe",2,2,"D"
"102","04/11/17","Alaves","Espanol",1,0,"H"
"103","04/11/17","Barcelona","Sevilla",2,1,"H"
"104","04/11/17","La Coruna","Ath Madrid",0,1,"A"
"105","04/11/17","Valencia","Leganes",3,0,"H"
"106","05/11/17","Celta","Ath Bilbao",3,1,"H"
"107","05/11/17","Levante","Girona",1,2,"A"
"108","05/11/17","Real Madrid","Las Palmas",3,0,"H"
"109","05/11/17","Sociedad","Eibar",3,1,"H"
"110","05/11/17","Villarreal","Malaga",2,0,"H"
"111","17/11/17","Girona","Sociedad",1,1,"D"
"112","18/11/17","Ath Madrid","Real Madrid",0,0,"D"
"113","18/11/17","Getafe","Alaves",4,1,"H"
"114","18/11/17","Leganes","Barcelona",0,3,"A"
"115","18/11/17","Sevilla","Celta",2,1,"H"
"116","19/11/17","Ath Bilbao","Villarreal",1,1,"D"
"117","19/11/17","Espanol","Valencia",0,2,"A"
"118","19/11/17","Las Palmas","Levante",0,2,"A"
"119","19/11/17","Malaga","La Coruna",3,2,"H"
"120","20/11/17","Eibar","Betis",5,0,"H"
"121","24/11/17","Celta","Leganes",1,0,"H"
"122","25/11/17","Alaves","Eibar",1,2,"A"
"123","25/11/17","Betis","Girona",2,2,"D"
"124","25/11/17","Levante","Ath Madrid",0,5,"A"
"125","25/11/17","Real Madrid","Malaga",3,2,"H"
"126","26/11/17","La Coruna","Ath Bilbao",2,2,"D"
"127","26/11/17","Sociedad","Las Palmas",2,2,"D"
"128","26/11/17","Valencia","Barcelona",1,1,"D"
"129","26/11/17","Villarreal","Sevilla",2,3,"A"
"130","27/11/17","Espanol","Getafe",1,0,"H"
"131","01/12/17","Malaga","Levante",0,0,"D"
"132","02/12/17","Ath Bilbao","Real Madrid",0,0,"D"
"133","02/12/17","Ath Madrid","Sociedad",2,1,"H"
"134","02/12/17","Barcelona","Celta",2,2,"D"
"135","02/12/17","Sevilla","La Coruna",2,0,"H"
"136","03/12/17","Eibar","Espanol",3,1,"H"
"137","03/12/17","Getafe","Valencia",1,0,"H"
"138","03/12/17","Las Palmas","Betis",1,0,"H"
"139","03/12/17","Leganes","Villarreal",3,1,"H"
"140","04/12/17","Girona","Alaves",2,3,"A"
"141","08/12/17","Alaves","Las Palmas",2,0,"H"
"142","09/12/17","Getafe","Eibar",0,0,"D"
"143","09/12/17","La Coruna","Leganes",1,0,"H"
"144","09/12/17","Real Madrid","Sevilla",5,0,"H"
"145","09/12/17","Valencia","Celta",2,1,"H"
"146","10/12/17","Betis","Ath Madrid",0,1,"A"
"147","10/12/17","Levante","Ath Bilbao",1,2,"A"
"148","10/12/17","Sociedad","Malaga",0,2,"A"
"149","10/12/17","Villarreal","Barcelona",0,2,"A"
"150","11/12/17","Espanol","Girona",0,1,"A"
"151","15/12/17","Sevilla","Levante",0,0,"D"
"152","16/12/17","Ath Bilbao","Sociedad",0,0,"D"
"153","16/12/17","Ath Madrid","Alaves",1,0,"H"
"154","16/12/17","Eibar","Valencia",2,1,"H"
"155","17/12/17","Barcelona","La Coruna",4,0,"H"
"156","17/12/17","Celta","Villarreal",0,1,"A"
"157","17/12/17","Girona","Getafe",1,0,"H"
"158","17/12/17","Las Palmas","Espanol",2,2,"D"
"159","18/12/17","Malaga","Betis",0,2,"A"
"160","19/12/17","Levante","Leganes",0,0,"D"
"161","20/12/17","Getafe","Las Palmas",2,0,"H"
"162","20/12/17","Sociedad","Sevilla",3,1,"H"
"163","21/12/17","Alaves","Malaga",1,0,"H"
"164","21/12/17","Eibar","Girona",4,1,"H"
"165","22/12/17","Betis","Ath Bilbao",0,2,"A"
"166","22/12/17","Espanol","Ath Madrid",1,0,"H"
"167","23/12/17","La Coruna","Celta",1,3,"A"
"168","23/12/17","Real Madrid","Barcelona",0,3,"A"
"169","23/12/17","Valencia","Villarreal",0,1,"A"
"170","06/01/18","Ath Madrid","Getafe",2,0,"H"
"171","06/01/18","Las Palmas","Eibar",1,2,"A"
"172","06/01/18","Sevilla","Betis",3,5,"A"
"173","06/01/18","Valencia","Girona",2,1,"H"
"174","07/01/18","Ath Bilbao","Alaves",2,0,"H"
"175","07/01/18","Barcelona","Levante",3,0,"H"
"176","07/01/18","Celta","Real Madrid",2,2,"D"
"177","07/01/18","Leganes","Sociedad",1,0,"H"
"178","07/01/18","Villarreal","La Coruna",1,1,"D"
"179","08/01/18","Malaga","Espanol",0,1,"A"
